entity,x,y
http://www.wikidata.org/entity/Q36935,4.679836,-106.697754
http://www.wikidata.org/entity/Q25423153,-36.31469,67.47084
http://www.wikidata.org/entity/Q6493782,-10.798438,-19.139587
http://www.wikidata.org/entity/Q2000073,20.791672,45.030895
http://www.wikidata.org/entity/Q11275623,-32.549477,18.883717
http://www.wikidata.org/entity/Q11016905,-72.7666,154.22981
http://www.wikidata.org/entity/Q458408,-33.74146,-6.4294777
http://www.wikidata.org/entity/Q3025312,-51.127045,-8.649535
http://www.wikidata.org/entity/Q33666381,24.550955,-22.85287
http://www.wikidata.org/entity/Q504763,-103.49609,86.10782
http://www.wikidata.org/entity/Q17741814,106.053566,109.56522
http://www.wikidata.org/entity/Q6895060,-175.4625,-19.252447
http://www.wikidata.org/entity/Q664905,29.570555,-73.3027
http://www.wikidata.org/entity/Q5478491,-14.583534,53.792023
http://www.wikidata.org/entity/Q8050328,169.96405,65.76893
http://www.wikidata.org/entity/Q2907551,169.96405,65.76893
http://www.wikidata.org/entity/Q2601178,48.4042,120.76139
http://www.wikidata.org/entity/Q56313,-72.7666,154.22981
http://www.wikidata.org/entity/Q6335777,10.514665,-14.75243
http://www.wikidata.org/entity/Q35680,-12.921726,-180.35016
http://www.wikidata.org/entity/Q3915310,114.26839,36.86259
http://www.wikidata.org/entity/Q6746036,169.96405,65.76893
http://www.wikidata.org/entity/Q85626974,-91.13202,6.6667566
http://www.wikidata.org/entity/Q530813,59.46926,-24.669357
http://www.wikidata.org/entity/Q124353353,-51.097786,-25.901329
http://www.wikidata.org/entity/Q10815250,26.188734,57.251038
http://www.wikidata.org/entity/Q45134562,-82.68045,-28.920498
http://www.wikidata.org/entity/Q735169,95.51569,-48.61828
http://www.wikidata.org/entity/Q134457230,75.55981,-15.169086
http://www.wikidata.org/entity/Q5626766,24.831459,19.485214
http://www.wikidata.org/entity/Q3229472,169.96405,65.76893
http://www.wikidata.org/entity/Q3913357,-127.12758,125.30579
http://www.wikidata.org/entity/Q9473984,-21.835663,-11.437805
http://www.wikidata.org/entity/Q782052,14.858791,107.47992
http://www.wikidata.org/entity/Q10856346,167.35188,-22.821877
http://www.wikidata.org/entity/Q52180550,82.735466,-46.890736
